P_Key,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths
42714,OWID_WRL,,World,01/06/2020,6119003,106726,108631,370976
42715,OWID_WRL,,World,02/06/2020,6219419,100416,110300.286,374126
42716,OWID_WRL,,World,03/06/2020,6331784,112365,112958,378668
42717,OWID_WRL,,World,04/06/2020,6457309,125525,116203.286,384176
42718,OWID_WRL,,World,05/06/2020,6584215,126906,117404.143,389306
42719,OWID_WRL,,World,06/06/2020,6717320,133105,118995.571,393945
42720,OWID_WRL,,World,07/06/2020,6843301,125981,118717.714,397735
42721,OWID_WRL,,World,08/06/2020,6958229,114928,119889.429,401243
42722,OWID_WRL,,World,09/06/2020,7063843,105614,120632,404460
42723,OWID_WRL,,World,10/06/2020,7189054,125211,122467.143,409313
42724,OWID_WRL,,World,11/06/2020,7323884,134830,123796.429,414439
42725,OWID_WRL,,World,12/06/2020,7460033,136149,125116.857,419138
42726,OWID_WRL,,World,13/06/2020,7604619,144586,126757,423781
42727,OWID_WRL,,World,14/06/2020,7738004,133385,127814.714,427918
42728,OWID_WRL,,World,15/06/2020,7859325,121321,128728,431080
42729,OWID_WRL,,World,16/06/2020,7977771,118446,130561.143,434457
42730,OWID_WRL,,World,17/06/2020,8119271,141500,132888.143,441176
42731,OWID_WRL,,World,18/06/2020,8296120,176849,138890.857,446274
42732,OWID_WRL,,World,19/06/2020,8434583,138463,139221.429,452548
42733,OWID_WRL,,World,20/06/2020,8614823,180240,144314.857,457578
42734,OWID_WRL,,World,21/06/2020,8775110,160287,148158,461700
42735,OWID_WRL,,World,22/06/2020,8904431,129321,149300.857,465669
42736,OWID_WRL,,World,23/06/2020,9038637,134206,151552.286,469057
42737,OWID_WRL,,World,24/06/2020,9202519,163882,154749.714,474406
42738,OWID_WRL,,World,25/06/2020,9377489,174970,154481.286,479623
42739,OWID_WRL,,World,26/06/2020,9556267,178778,160240.571,486198
42740,OWID_WRL,,World,27/06/2020,9744867,188600,161434.857,490765
42741,OWID_WRL,,World,28/06/2020,9926878,182011,164538.286,495353
42742,OWID_WRL,,World,29/06/2020,10087184,160306,168964.714,498420
42743,OWID_WRL,,World,30/06/2020,10245315,158131,172382.571,502131